img_slice_id,x,y,w,h,contours
bb_001_60,89,53,80,85,1
bb_001_61,89,52,81,86,1
bb_001_62,89,51,82,87,1
bb_001_63,89,51,82,86,1
bb_001_64,156,90,20,10,2
bb_001_64,87,51,85,86,2
bb_001_65,85,51,98,86,1
bb_001_66,82,51,102,86,1
bb_001_67,81,51,104,86,1
bb_001_68,81,51,105,86,1
bb_001_69,80,52,106,85,1
bb_001_70,80,52,106,85,1
bb_001_71,80,52,107,85,1
bb_001_72,79,52,108,85,1
bb_001_73,78,53,108,82,1
bb_001_74,78,57,107,78,1
bb_001_75,78,57,107,78,1
bb_001_76,78,58,107,77,1
bb_001_77,78,58,105,76,1
bb_001_78,77,58,105,76,1
bb_001_79,173,136,2,5,2
bb_001_79,77,58,104,76,2
bb_001_80,173,136,3,6,2
bb_001_80,77,58,103,76,2
bb_001_81,171,136,6,7,2
bb_001_81,77,58,102,77,2
bb_001_82,143,125,35,19,2
bb_001_82,77,58,102,76,2
bb_001_83,142,125,36,19,2
bb_001_83,77,59,101,75,2
bb_001_84,139,125,38,19,2
bb_001_84,77,59,100,74,2
bb_001_85,108,131,9,2,3
bb_001_85,139,125,37,19,3
bb_001_85,78,58,96,72,3
bb_001_86,109,131,8,2,3
bb_001_86,138,123,36,17,3
bb_001_86,78,58,96,72,3
bb_001_87,138,123,36,16,2
bb_001_87,78,58,95,73,2
bb_001_88,78,59,94,78,1
bb_001_89,158,129,10,9,2
bb_001_89,78,59,94,72,2
bb_001_90,120,129,5,3,3
bb_001_90,159,129,9,9,3
bb_001_90,78,59,93,72,3
bb_001_91,161,130,7,7,2
bb_001_91,79,60,92,72,2
bb_001_92,80,62,91,71,1
bb_001_93,80,63,91,70,1
bb_001_94,80,63,91,70,1
bb_001_95,81,64,89,69,1
bb_001_96,81,64,88,59,1
bb_001_97,88,71,80,52,1
bb_001_98,91,72,76,51,1
bb_001_99,92,72,75,49,1
bb_001_100,92,72,74,47,1
bb_001_101,93,73,72,43,1
bb_001_102,94,77,70,37,1
bb_001_103,99,79,63,35,1
bb_001_104,100,80,62,33,1
bb_001_105,156,82,5,6,2
bb_001_105,102,85,54,27,2
bb_001_106,157,83,4,3,2
bb_001_106,104,86,51,26,2
bb_001_107,105,86,46,25,1
bb_001_108,108,87,31,21,1
bb_001_109,119,89,18,15,1
bb_001_110,120,89,17,15,1
bb_001_111,122,90,12,14,1
bb_001_112,127,100,4,3,1
bb_001_113,NA,NA,NA,NA,0
bb_001_114,NA,NA,NA,NA,0
bb_001_115,NA,NA,NA,NA,0
bb_001_116,NA,NA,NA,NA,0
bb_001_117,NA,NA,NA,NA,0
bb_001_118,NA,NA,NA,NA,0
bb_001_119,NA,NA,NA,NA,0
bb_001_120,NA,NA,NA,NA,0
bb_001_121,NA,NA,NA,NA,0
bb_001_122,NA,NA,NA,NA,0
bb_001_123,NA,NA,NA,NA,0
bb_001_124,NA,NA,NA,NA,0
bb_001_125,NA,NA,NA,NA,0
bb_001_126,NA,NA,NA,NA,0
bb_001_127,NA,NA,NA,NA,0
bb_001_128,NA,NA,NA,NA,0
bb_001_129,NA,NA,NA,NA,0
bb_001_130,NA,NA,NA,NA,0
bb_001_131,NA,NA,NA,NA,0
bb_001_132,NA,NA,NA,NA,0
bb_001_133,NA,NA,NA,NA,0
bb_001_134,NA,NA,NA,NA,0
bb_001_135,NA,NA,NA,NA,0
bb_001_136,NA,NA,NA,NA,0
bb_001_137,NA,NA,NA,NA,0
bb_001_138,NA,NA,NA,NA,0
bb_001_139,NA,NA,NA,NA,0
bb_001_140,NA,NA,NA,NA,0
bb_001_141,NA,NA,NA,NA,0
bb_001_142,NA,NA,NA,NA,0
bb_001_143,NA,NA,NA,NA,0
bb_001_144,NA,NA,NA,NA,0
bb_001_145,NA,NA,NA,NA,0
bb_001_146,NA,NA,NA,NA,0
bb_001_147,NA,NA,NA,NA,0
bb_001_148,NA,NA,NA,NA,0
bb_001_149,NA,NA,NA,NA,0
bb_001_150,NA,NA,NA,NA,0
bb_001_151,NA,NA,NA,NA,0
bb_001_152,NA,NA,NA,NA,0
bb_001_153,NA,NA,NA,NA,0
bb_001_154,NA,NA,NA,NA,0
bb_002_0,NA,NA,NA,NA,0
bb_002_1,NA,NA,NA,NA,0
bb_002_2,NA,NA,NA,NA,0
bb_002_3,NA,NA,NA,NA,0
bb_002_4,NA,NA,NA,NA,0
bb_002_5,NA,NA,NA,NA,0
bb_002_6,NA,NA,NA,NA,0
bb_002_7,NA,NA,NA,NA,0
bb_002_8,NA,NA,NA,NA,0
bb_002_9,NA,NA,NA,NA,0
bb_002_10,NA,NA,NA,NA,0
bb_002_11,NA,NA,NA,NA,0
bb_002_12,NA,NA,NA,NA,0
bb_002_13,NA,NA,NA,NA,0
bb_002_14,NA,NA,NA,NA,0
bb_002_15,NA,NA,NA,NA,0
bb_002_16,NA,NA,NA,NA,0
bb_002_17,NA,NA,NA,NA,0
bb_002_18,NA,NA,NA,NA,0
bb_002_19,NA,NA,NA,NA,0
bb_002_20,NA,NA,NA,NA,0
bb_002_21,NA,NA,NA,NA,0
bb_002_22,NA,NA,NA,NA,0
bb_002_23,NA,NA,NA,NA,0
bb_002_24,NA,NA,NA,NA,0
bb_002_25,NA,NA,NA,NA,0
bb_002_26,NA,NA,NA,NA,0
bb_002_27,NA,NA,NA,NA,0
bb_002_28,95,93,9,5,1
bb_002_29,93,88,15,11,1
bb_002_30,91,87,17,13,1
bb_002_31,100,72,5,5,2
bb_002_31,90,85,19,16,2
bb_002_32,93,72,13,11,2
bb_002_32,90,84,22,16,2
bb_002_33,86,71,26,29,1
bb_002_34,85,70,26,31,1
bb_002_35,114,76,4,5,3
bb_002_35,112,89,5,6,3
bb_002_35,84,69,29,32,3
bb_002_36,84,69,34,32,1
bb_002_37,82,67,38,35,1
bb_002_38,82,66,40,37,1
bb_002_39,118,61,5,2,2
bb_002_39,81,66,42,37,2
bb_002_40,118,61,5,2,2
bb_002_40,81,63,45,41,2
bb_002_41,81,61,48,43,1
bb_002_42,81,61,48,44,1
bb_002_43,133,83,3,4,3
bb_002_43,136,86,4,3,3
bb_002_43,80,61,50,44,3
bb_002_44,134,83,7,6,2
bb_002_44,81,60,51,46,2
bb_002_45,133,83,11,7,3
bb_002_45,107,106,9,10,3
bb_002_45,81,61,51,46,3
bb_002_46,134,83,14,7,2
bb_002_46,81,60,52,56,2
bb_002_47,134,83,16,8,2
bb_002_47,84,60,50,56,2
bb_002_48,134,83,20,11,2
bb_002_48,84,59,54,56,2
bb_002_49,85,59,70,57,1
bb_002_50,85,59,70,56,1
bb_002_51,85,58,71,56,1
bb_002_52,85,58,71,56,1
bb_002_53,85,58,71,56,1
bb_002_54,85,58,70,56,1
bb_002_55,85,58,65,56,1
bb_002_56,85,59,66,54,1
bb_002_57,85,58,66,55,1
bb_002_58,85,58,67,53,1
bb_002_59,85,59,67,52,1
bb_002_60,152,88,11,3,2
bb_002_60,85,60,69,51,2
bb_002_61,85,62,79,48,1
bb_002_62,85,62,83,47,1
bb_002_63,85,61,85,48,1
bb_002_64,85,59,85,49,1
bb_002_65,149,88,21,6,3
bb_002_65,143,93,19,11,3
bb_002_65,85,58,61,48,3
bb_002_66,154,101,7,4,4
bb_002_66,146,94,8,9,4
bb_002_66,151,89,19,5,4
bb_002_66,86,57,60,44,4
bb_002_67,154,101,6,4,4
bb_002_67,146,95,7,8,4
bb_002_67,152,89,18,5,4
bb_002_67,86,56,58,45,4
bb_002_68,148,96,4,3,3
bb_002_68,155,89,14,5,3
bb_002_68,86,56,52,44,3
bb_002_69,154,88,15,6,2
bb_002_69,86,56,53,43,2
bb_002_70,154,89,15,5,2
bb_002_70,87,57,54,39,2
bb_002_71,154,89,15,4,2
bb_002_71,87,57,53,38,2
bb_002_72,155,89,14,4,2
bb_002_72,87,57,53,37,2
bb_002_73,161,90,6,4,2
bb_002_73,87,58,53,33,2
bb_002_74,87,57,53,34,1
bb_002_75,100,63,5,3,3
bb_002_75,88,77,41,14,3
bb_002_75,101,57,39,27,3
bb_002_76,90,78,36,12,2
bb_002_76,103,59,37,24,2
bb_002_77,91,81,8,8,3
bb_002_77,100,80,27,9,3
bb_002_77,109,60,30,23,3
bb_002_78,92,82,7,7,3
bb_002_78,104,79,19,10,3
bb_002_78,114,61,25,21,3
bb_002_79,103,83,12,6,3
bb_002_79,111,79,13,9,3
bb_002_79,114,62,24,19,3
bb_002_80,117,65,19,15,1
bb_002_81,125,70,9,9,1
bb_002_82,NA,NA,NA,NA,0
bb_002_83,NA,NA,NA,NA,0
bb_002_84,NA,NA,NA,NA,0
bb_002_85,NA,NA,NA,NA,0
bb_002_86,NA,NA,NA,NA,0
bb_002_87,NA,NA,NA,NA,0
bb_002_88,NA,NA,NA,NA,0
bb_002_89,NA,NA,NA,NA,0
bb_002_90,NA,NA,NA,NA,0
bb_002_91,NA,NA,NA,NA,0
bb_002_92,NA,NA,NA,NA,0
bb_002_93,NA,NA,NA,NA,0
bb_002_94,NA,NA,NA,NA,0
bb_002_95,NA,NA,NA,NA,0
bb_002_96,NA,NA,NA,NA,0
bb_002_97,NA,NA,NA,NA,0
bb_002_98,NA,NA,NA,NA,0
bb_002_99,NA,NA,NA,NA,0
bb_002_100,NA,NA,NA,NA,0
bb_002_101,NA,NA,NA,NA,0
bb_002_102,NA,NA,NA,NA,0
bb_002_103,NA,NA,NA,NA,0
bb_002_104,NA,NA,NA,NA,0
bb_002_105,NA,NA,NA,NA,0
bb_002_106,NA,NA,NA,NA,0
bb_002_107,NA,NA,NA,NA,0
bb_002_108,NA,NA,NA,NA,0
bb_002_109,NA,NA,NA,NA,0
bb_002_110,NA,NA,NA,NA,0
bb_002_111,NA,NA,NA,NA,0
bb_002_112,NA,NA,NA,NA,0
bb_002_113,NA,NA,NA,NA,0
bb_002_114,NA,NA,NA,NA,0
bb_002_115,NA,NA,NA,NA,0
bb_002_116,NA,NA,NA,NA,0
bb_002_117,NA,NA,NA,NA,0
bb_002_118,NA,NA,NA,NA,0
bb_002_119,NA,NA,NA,NA,0
bb_002_120,NA,NA,NA,NA,0
bb_002_121,NA,NA,NA,NA,0
bb_002_122,NA,NA,NA,NA,0
bb_002_123,NA,NA,NA,NA,0
bb_002_124,NA,NA,NA,NA,0
bb_002_125,NA,NA,NA,NA,0
bb_002_126,NA,NA,NA,NA,0
bb_002_127,NA,NA,NA,NA,0
bb_002_128,NA,NA,NA,NA,0
bb_002_129,NA,NA,NA,NA,0
bb_002_130,NA,NA,NA,NA,0
bb_002_131,NA,NA,NA,NA,0
bb_002_132,NA,NA,NA,NA,0
bb_002_133,NA,NA,NA,NA,0
bb_002_134,NA,NA,NA,NA,0
bb_002_135,NA,NA,NA,NA,0
bb_002_136,NA,NA,NA,NA,0
bb_002_137,NA,NA,NA,NA,0
bb_002_138,NA,NA,NA,NA,0
bb_002_139,NA,NA,NA,NA,0
bb_002_140,NA,NA,NA,NA,0
bb_002_141,NA,NA,NA,NA,0
bb_002_142,NA,NA,NA,NA,0
bb_002_143,NA,NA,NA,NA,0
bb_002_144,NA,NA,NA,NA,0
bb_002_145,NA,NA,NA,NA,0
bb_002_146,NA,NA,NA,NA,0
bb_002_147,NA,NA,NA,NA,0
bb_002_148,NA,NA,NA,NA,0
bb_002_149,NA,NA,NA,NA,0
bb_002_150,NA,NA,NA,NA,0
bb_002_151,NA,NA,NA,NA,0
bb_002_152,NA,NA,NA,NA,0
bb_002_153,NA,NA,NA,NA,0
bb_002_154,NA,NA,NA,NA,0
bb_003_0,NA,NA,NA,NA,0
bb_003_1,NA,NA,NA,NA,0
bb_003_2,NA,NA,NA,NA,0
bb_003_3,NA,NA,NA,NA,0
bb_003_4,NA,NA,NA,NA,0
bb_003_5,NA,NA,NA,NA,0
bb_003_6,NA,NA,NA,NA,0
bb_003_7,NA,NA,NA,NA,0
bb_003_8,NA,NA,NA,NA,0
bb_003_9,NA,NA,NA,NA,0
bb_003_10,NA,NA,NA,NA,0
bb_003_11,NA,NA,NA,NA,0
bb_003_12,NA,NA,NA,NA,0
bb_003_13,NA,NA,NA,NA,0
bb_003_14,NA,NA,NA,NA,0
bb_003_15,NA,NA,NA,NA,0
bb_003_16,NA,NA,NA,NA,0
bb_003_17,NA,NA,NA,NA,0
bb_003_18,NA,NA,NA,NA,0
bb_003_19,NA,NA,NA,NA,0
bb_003_20,NA,NA,NA,NA,0
bb_003_21,NA,NA,NA,NA,0
bb_003_22,NA,NA,NA,NA,0
bb_003_23,NA,NA,NA,NA,0
bb_003_24,NA,NA,NA,NA,0
bb_003_25,NA,NA,NA,NA,0
bb_003_26,NA,NA,NA,NA,0
bb_003_27,NA,NA,NA,NA,0
bb_003_28,NA,NA,NA,NA,0
bb_003_29,NA,NA,NA,NA,0
bb_003_30,NA,NA,NA,NA,0
bb_003_31,NA,NA,NA,NA,0
bb_003_32,NA,NA,NA,NA,0
bb_003_33,NA,NA,NA,NA,0
bb_003_34,NA,NA,NA,NA,0
bb_003_35,NA,NA,NA,NA,0
bb_003_36,NA,NA,NA,NA,0
bb_003_37,NA,NA,NA,NA,0
bb_003_38,NA,NA,NA,NA,0
bb_003_39,NA,NA,NA,NA,0
bb_003_40,NA,NA,NA,NA,0
bb_003_41,NA,NA,NA,NA,0
bb_003_42,NA,NA,NA,NA,0
bb_003_43,NA,NA,NA,NA,0
bb_003_44,NA,NA,NA,NA,0
bb_003_45,NA,NA,NA,NA,0
bb_003_46,NA,NA,NA,NA,0
bb_003_47,NA,NA,NA,NA,0
bb_003_48,NA,NA,NA,NA,0
bb_003_49,NA,NA,NA,NA,0
bb_003_50,NA,NA,NA,NA,0
bb_003_51,NA,NA,NA,NA,0
bb_003_52,NA,NA,NA,NA,0
bb_003_53,NA,NA,NA,NA,0
bb_003_54,NA,NA,NA,NA,0
bb_003_55,NA,NA,NA,NA,0
bb_003_56,NA,NA,NA,NA,0
bb_003_57,NA,NA,NA,NA,0
bb_003_58,NA,NA,NA,NA,0
bb_003_59,NA,NA,NA,NA,0
bb_003_60,NA,NA,NA,NA,0
bb_003_61,154,166,10,11,1
bb_003_62,153,164,17,13,1
bb_003_63,146,166,4,7,2
bb_003_63,152,162,21,18,2
bb_003_64,148,150,9,6,3
bb_003_64,146,164,5,11,3
bb_003_64,152,161,22,19,3
bb_003_65,146,149,11,7,2
bb_003_65,146,161,29,19,2
bb_003_66,146,149,15,7,2
bb_003_66,146,160,29,21,2
bb_003_67,138,148,24,8,2
bb_003_67,146,159,30,21,2
bb_003_68,155,143,6,3,3
bb_003_68,135,148,28,9,3
bb_003_68,146,159,30,21,3
bb_003_69,131,143,33,14,2
bb_003_69,145,158,32,23,2
bb_003_70,143,139,6,3,3
bb_003_70,131,142,33,15,3
bb_003_70,146,158,32,22,3
bb_003_71,143,140,6,2,3
bb_003_71,131,142,37,15,3
bb_003_71,145,157,34,22,3
bb_003_72,146,137,5,3,3
bb_003_72,132,140,37,18,3
bb_003_72,146,157,33,22,3
bb_003_73,132,141,41,17,2
bb_003_73,146,157,34,22,2
bb_003_74,148,157,32,21,2
bb_003_74,132,141,41,17,2
bb_003_75,132,141,41,17,2
bb_003_75,148,157,33,23,2
bb_003_76,167,157,14,15,3
bb_003_76,148,159,21,20,3
bb_003_76,133,140,40,18,3
bb_003_77,166,157,16,14,3
bb_003_77,153,163,16,17,3
bb_003_77,133,139,40,19,3
bb_003_78,167,157,15,14,3
bb_003_78,153,163,15,16,3
bb_003_78,133,138,40,19,3
bb_003_79,153,165,14,14,3
bb_003_79,168,158,15,14,3
bb_003_79,134,137,38,20,3
bb_003_80,170,158,14,13,3
bb_003_80,153,165,14,14,3
bb_003_80,134,137,41,20,3
bb_003_81,172,159,10,12,3
bb_003_81,154,165,13,14,3
bb_003_81,134,137,41,20,3
bb_003_82,155,166,12,11,3
bb_003_82,173,158,10,14,3
bb_003_82,133,137,43,20,3
bb_003_83,174,160,9,11,3
bb_003_83,156,167,11,9,3
bb_003_83,133,136,43,23,3
bb_003_84,175,161,6,9,3
bb_003_84,157,168,10,8,3
bb_003_84,133,136,43,23,3
bb_003_85,177,164,5,6,3
bb_003_85,158,167,9,9,3
bb_003_85,133,135,43,32,3
bb_003_86,164,128,3,4,3
bb_003_86,158,168,9,8,3
bb_003_86,133,135,43,32,3
bb_003_87,162,128,6,6,3
bb_003_87,158,168,8,7,3
bb_003_87,133,135,43,32,3
bb_003_88,160,169,4,4,2
bb_003_88,133,127,43,40,2
bb_003_89,160,169,3,4,2
bb_003_89,133,129,43,38,2
bb_003_90,133,128,42,39,1
bb_003_91,132,126,43,42,1
bb_003_92,131,125,43,43,1
bb_003_93,129,125,44,43,1
bb_003_94,126,126,47,42,1
bb_003_95,125,126,48,42,1
bb_003_96,124,127,50,41,1
bb_003_97,121,127,52,41,1
bb_003_98,120,129,52,39,1
bb_003_99,120,131,52,37,1
bb_003_100,120,131,49,37,1
bb_003_101,148,142,14,26,2
bb_003_101,129,132,39,20,2
bb_003_102,149,142,12,25,2
bb_003_102,130,132,40,20,2
bb_003_103,150,153,7,13,2
bb_003_103,130,132,39,20,2
bb_003_104,150,155,8,10,2
bb_003_104,135,133,34,21,2
bb_003_105,152,157,6,6,2
bb_003_105,136,133,33,22,2
bb_003_106,137,133,33,19,1
bb_003_107,138,133,33,18,1
bb_003_108,155,132,17,6,2
bb_003_108,139,134,15,15,2
bb_003_109,140,137,12,10,1
bb_003_110,NA,NA,NA,NA,0
bb_003_111,NA,NA,NA,NA,0
bb_003_112,NA,NA,NA,NA,0
bb_003_113,NA,NA,NA,NA,0
bb_003_114,NA,NA,NA,NA,0
bb_003_115,NA,NA,NA,NA,0
bb_003_116,NA,NA,NA,NA,0
bb_003_117,NA,NA,NA,NA,0
bb_003_118,NA,NA,NA,NA,0
bb_003_119,NA,NA,NA,NA,0
bb_003_120,NA,NA,NA,NA,0
bb_003_121,NA,NA,NA,NA,0
bb_003_122,NA,NA,NA,NA,0
bb_003_123,NA,NA,NA,NA,0
bb_003_124,NA,NA,NA,NA,0
bb_003_125,NA,NA,NA,NA,0
bb_003_126,NA,NA,NA,NA,0
bb_003_127,NA,NA,NA,NA,0
bb_003_128,NA,NA,NA,NA,0
bb_003_129,NA,NA,NA,NA,0
bb_003_130,NA,NA,NA,NA,0
bb_003_131,NA,NA,NA,NA,0
bb_003_132,NA,NA,NA,NA,0
bb_003_133,NA,NA,NA,NA,0
bb_003_134,NA,NA,NA,NA,0
bb_003_135,NA,NA,NA,NA,0
bb_003_136,NA,NA,NA,NA,0
bb_003_137,NA,NA,NA,NA,0
bb_003_138,NA,NA,NA,NA,0
bb_003_139,NA,NA,NA,NA,0
bb_003_140,NA,NA,NA,NA,0
bb_003_141,NA,NA,NA,NA,0
bb_003_142,NA,NA,NA,NA,0
bb_003_143,NA,NA,NA,NA,0
bb_003_144,NA,NA,NA,NA,0
bb_003_145,NA,NA,NA,NA,0
bb_003_146,NA,NA,NA,NA,0
bb_003_147,NA,NA,NA,NA,0
bb_003_148,NA,NA,NA,NA,0
bb_003_149,NA,NA,NA,NA,0
bb_003_150,NA,NA,NA,NA,0
bb_003_151,NA,NA,NA,NA,0
bb_003_152,NA,NA,NA,NA,0
bb_003_153,NA,NA,NA,NA,0
bb_003_154,NA,NA,NA,NA,0
bb_004_0,NA,NA,NA,NA,0
bb_004_1,NA,NA,NA,NA,0
bb_004_2,NA,NA,NA,NA,0
bb_004_3,NA,NA,NA,NA,0
bb_004_4,NA,NA,NA,NA,0
bb_004_5,NA,NA,NA,NA,0
bb_004_6,NA,NA,NA,NA,0
bb_004_7,NA,NA,NA,NA,0
bb_004_8,NA,NA,NA,NA,0
bb_004_9,NA,NA,NA,NA,0
bb_004_10,NA,NA,NA,NA,0
bb_004_11,NA,NA,NA,NA,0
bb_004_12,NA,NA,NA,NA,0
bb_004_13,NA,NA,NA,NA,0
bb_004_14,NA,NA,NA,NA,0
bb_004_15,NA,NA,NA,NA,0
bb_004_16,NA,NA,NA,NA,0
bb_004_17,NA,NA,NA,NA,0
bb_004_18,NA,NA,NA,NA,0
bb_004_19,NA,NA,NA,NA,0
bb_004_20,NA,NA,NA,NA,0
bb_004_21,NA,NA,NA,NA,0
bb_004_22,NA,NA,NA,NA,0
bb_004_23,NA,NA,NA,NA,0
bb_004_24,NA,NA,NA,NA,0
bb_004_25,NA,NA,NA,NA,0
bb_004_26,NA,NA,NA,NA,0
bb_004_27,NA,NA,NA,NA,0
bb_004_28,NA,NA,NA,NA,0
bb_004_29,NA,NA,NA,NA,0
bb_004_30,NA,NA,NA,NA,0
bb_004_31,NA,NA,NA,NA,0
bb_004_32,NA,NA,NA,NA,0
bb_004_33,NA,NA,NA,NA,0
bb_004_34,NA,NA,NA,NA,0
bb_004_35,NA,NA,NA,NA,0
bb_004_36,NA,NA,NA,NA,0
bb_004_37,NA,NA,NA,NA,0
bb_004_38,NA,NA,NA,NA,0
bb_004_39,NA,NA,NA,NA,0
bb_004_40,NA,NA,NA,NA,0
bb_004_41,NA,NA,NA,NA,0
bb_004_42,NA,NA,NA,NA,0
bb_004_43,NA,NA,NA,NA,0
bb_004_44,NA,NA,NA,NA,0
bb_004_45,NA,NA,NA,NA,0
bb_004_46,NA,NA,NA,NA,0
bb_004_47,NA,NA,NA,NA,0
bb_004_48,NA,NA,NA,NA,0
bb_004_49,NA,NA,NA,NA,0
bb_004_50,NA,NA,NA,NA,0
bb_004_51,NA,NA,NA,NA,0
bb_004_52,NA,NA,NA,NA,0
bb_004_53,NA,NA,NA,NA,0
bb_004_54,NA,NA,NA,NA,0
bb_004_55,153,154,8,9,1
bb_004_56,142,154,21,10,1
bb_004_57,154,146,5,4,3
bb_004_57,143,146,6,4,3
bb_004_57,140,152,27,13,3
bb_004_58,139,144,31,22,1
bb_004_59,174,149,4,6,2
bb_004_59,136,144,36,23,2
bb_004_60,135,143,46,25,1
bb_004_61,154,166,5,10,2
bb_004_61,135,143,48,27,2
bb_004_62,134,139,53,38,1
bb_004_63,134,138,54,40,1
bb_004_64,134,138,54,41,1
bb_004_65,134,139,55,41,1
bb_004_66,133,138,57,42,1
bb_004_67,133,137,58,43,1
bb_004_68,132,136,60,44,1
bb_004_69,132,135,60,45,1
bb_004_70,132,134,60,47,1
bb_004_71,132,134,61,47,1
bb_004_72,132,133,61,48,1
bb_004_73,132,133,66,47,1
bb_004_74,132,131,66,49,1
bb_004_75,132,129,67,50,1
bb_004_76,127,136,4,5,2
bb_004_76,131,129,68,51,2
bb_004_77,125,135,6,7,2
bb_004_77,130,125,70,55,2
bb_004_78,126,135,5,7,2
bb_004_78,129,126,71,54,2
bb_004_79,125,133,6,10,2
bb_004_79,127,126,73,54,2
bb_004_80,126,126,74,54,1
bb_004_81,125,127,75,53,1
bb_004_82,125,127,75,53,1
bb_004_83,125,128,76,52,1
bb_004_84,124,128,78,52,1
bb_004_85,124,128,78,52,1
bb_004_86,123,129,79,52,1
bb_004_87,123,129,78,52,1
bb_004_88,123,129,78,52,1
bb_004_89,123,129,78,51,1
bb_004_90,123,129,76,51,1
bb_004_91,124,129,74,51,1
bb_004_92,124,129,73,51,1
bb_004_93,124,129,73,51,1
bb_004_94,125,129,72,51,1
bb_004_95,125,129,71,51,1
bb_004_96,126,129,69,51,1
bb_004_97,126,129,69,50,1
bb_004_98,126,129,69,50,1
bb_004_99,126,129,68,50,1
bb_004_100,127,129,67,49,1
bb_004_101,127,129,66,49,1
bb_004_102,127,129,65,48,1
bb_004_103,127,146,35,30,2
bb_004_103,136,130,54,43,2
bb_004_104,137,141,3,5,3
bb_004_104,128,146,34,30,3
bb_004_104,141,130,48,42,3
bb_004_105,128,147,34,29,2
bb_004_105,143,130,46,40,2
bb_004_106,129,147,33,28,2
bb_004_106,144,130,43,39,2
bb_004_107,130,148,32,26,2
bb_004_107,144,130,44,38,2
bb_004_108,131,148,32,25,2
bb_004_108,145,131,41,34,2
bb_004_109,133,149,30,23,2
bb_004_109,146,131,40,33,2
bb_004_110,168,153,8,10,3
bb_004_110,135,149,28,22,3
bb_004_110,147,132,38,27,3
bb_004_111,135,151,27,20,2
bb_004_111,148,132,36,27,2
bb_004_112,137,152,23,18,2
bb_004_112,149,133,36,26,2
bb_004_113,138,152,20,17,2
bb_004_113,150,133,26,27,2
bb_004_114,172,150,3,4,3
bb_004_114,139,153,19,14,3
bb_004_114,152,133,21,24,3
bb_004_115,140,153,18,13,2
bb_004_115,153,136,21,20,2
bb_004_116,147,157,10,7,2
bb_004_116,159,136,15,20,2
bb_004_117,150,158,6,4,2
bb_004_117,159,137,14,17,2
bb_004_118,160,142,10,11,1
bb_004_119,161,143,8,9,1
bb_004_120,162,144,6,7,1
